individual_0;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29
14605;14602;14600;14600;14602;14601;14600;14601;14600;14600;14600;14607;14605;14739;14600;14600;14603;14604;14601;14744;14602;14601;14601;14600;14603;14600;14603;14601;14600;14600
14668;14668;14600;14604;14602;14600;14709;14635;14668;14607;14607;14600;14602;14606;14600;14604;14601;14600;14600;14600;14727;14617;14607;14600;14668;14601;14603;14603;14600;14600
14712;14632;14600;14600;14655;14689;14601;14600;14601;14600;14607;14600;14600;14600;14603;14604;14600;14668;14744;14600;14604;14744;14606;14662;14600;14601;14601;14603;14600;14601
14603;14744;14600;14601;14600;14600;14600;14601;14600;14600;14600;14603;14601;14668;14600;14744;14642;14626;14600;14600;14604;14600;14600;14600;14600;14603;14604;14600;14600;14601
14607;14600;14604;14600;14601;14603;14649;14619;14600;14600;14632;14636;14601;14668;14604;14600;14600;14607;14601;14604;14668;14600;14600;14744;14601;14601;14604;14600;14602;14602
14617;14651;14601;14603;14601;14606;14621;14730;14702;14710;14600;14603;14600;14600;14600;14604;14600;14600;14600;14600;14668;14604;14600;14600;14602;14666;14600;14600;14601;14600
14690;14654;14600;14603;14601;14600;14668;14600;14601;14600;14604;14607;14600;14600;14600;14600;14601;14603;14668;14600;14600;14607;14600;14601;14600;14600;14601;14603;14604;14601
14602;14602;14625;14643;14600;14604;14652;14616;14658;14617;14618;14651;14604;14600;14601;14601;14662;14606;14601;14604;14600;14600;14600;14603;14677;14668;14668;14604;14600;14607
14600;14602;14600;14600;14600;14601;14600;14607;14604;14600;14600;14744;14602;14600;14668;14604;14600;14600;14601;14604;14601;14602;14600;14601;14699;14645;14668;14604;14601;14601
14603;14600;14600;14603;14603;14668;14600;14600;14603;14601;14604;14603;14600;14607;14603;14600;14642;14626;14744;14600;14602;14603;14600;14600;14603;14601;14600;14600;14603;14600
14600;14600;14602;14605;14740;14604;14600;14744;14663;14684;14603;14600;14600;14600;14712;14635;14600;14601;14686;14658;14603;14607;14600;14600;14600;14600;14600;14603;14600;14604
14601;14600;14604;14604;14600;14603;14600;14603;14601;14600;14600;14601;14600;14601;14606;14605;14600;14600;14600;14600;14606;14602;14600;14604;14600;14600;14604;14600;14735;14610
14600;14604;14600;14603;14600;14600;14668;14600;14604;14603;14600;14600;14636;14632;14604;14740;14600;14600;14600;14600;14600;14600;14600;14744;14600;14600;14600;14600;14601;14601
14668;14600;14600;14600;14600;14600;14600;14600;14600;14601;14601;14600;14600;14744;14744;14600;14618;14730;14611;14734;14603;14604;14630;14640;14606;14601;14681;14601;14600;14600
14600;14600;14607;14600;14600;14600;14600;14601;14600;14600;14601;14600;14601;14604;14600;14600;14642;14626;14600;14600;14635;14636;14601;14604;14600;14600;14638;14706;14600;14604
14604;14607;14706;14639;14600;14600;14667;14608;14600;14600;14603;14602;14600;14600;14615;14656;14703;14709;14744;14600;14600;14603;14601;14603;14600;14600;14668;14668;14600;14600
14604;14664;14600;14600;14600;14600;14603;14602;14600;14603;14602;14602;14600;14744;14603;14601;14600;14600;14604;14600;14604;14603;14603;14600;14607;14600;14668;14668;14607;14600
14744;14600;14600;14600;14601;14604;14600;14600;14600;14600;14600;14668;14600;14600;14610;14658;14607;14600;14668;14602;14600;14600;14600;14744;14601;14602;14600;14600;14615;14657
14600;14603;14602;14601;14600;14601;14600;14601;14600;14600;14601;14601;14600;14600;14602;14605;14744;14601;14601;14600;14606;14601;14641;14627;14600;14601;14668;14600;14600;14668
14620;14724;14604;14668;14604;14600;14600;14600;14744;14600;14601;14603;14600;14604;14603;14600;14600;14601;14600;14601;14601;14668;14604;14601;14604;14607;14697;14647;14744;14603
14600;14600;14744;14744;14607;14600;14647;14624;14600;14600;14662;14606;14706;14706;14615;14654;14600;14600;14604;14600;14600;14601;14600;14604;14600;14600;14600;14600;14600;14600
14600;14600;14601;14603;14603;14601;14601;14600;14600;14600;14608;14664;14600;14744;14600;14668;14602;14602;14601;14600;14600;14600;14600;14601;14607;14600;14604;14601;14603;14601
14631;14641;14600;14668;14600;14600;14621;14723;14607;14607;14601;14603;14601;14601;14600;14668;14600;14600;14632;14636;14600;14604;14607;14604;14606;14605;14600;14600;14629;14639
14633;14712;14629;14642;14600;14601;14603;14601;14603;14600;14616;14653;14600;14600;14601;14600;14600;14600;14601;14603;14600;14600;14601;14600;14600;14600;14604;14604;14604;14600
14600;14604;14600;14600;14601;14600;14601;14600;14600;14604;14604;14601;14603;14604;14600;14600;14606;14662;14600;14601;14603;14604;14600;14744;14601;14602;14600;14603;14603;14600
14686;14658;14600;14600;14600;14600;14733;14612;14600;14600;14650;14619;14600;14600;14600;14600;14600;14600;14600;14668;14600;14668;14697;14715;14600;14600;14607;14604;14610;14661
14600;14600;14668;14604;14739;14605;14600;14744;14601;14601;14602;14605;14600;14604;14600;14600;14627;14644;14600;14600;14600;14601;14604;14604;14600;14600;14676;14736;14744;14600
